Location Name,ISBN,Title Author Combined and Normalized,Title (Complete),Author,Publisher,Publication Date,Subjects,520 - Local Param 03,Permanent LC Classification Code,Process Type,Edition,Language Code,title_cn,category_cn
4F Book Collection,0190915153; 9780190915155; 9780190915179; 019091517X; 9780190915186; 0190915188,african american history a very short introduction - holl,African American history : a very short introduction / Jonathan Scott Holloway.,"Holloway, Jonathan Scott, author.",Oxford University Press,[2023],African Americans--History.; African Americans--Civil rights--History.; United States--Race relations--History.,"""What does it mean to be an American? African American history illuminates the United States' core paradoxes, inviting profound questions about what it means to be an American, a citizen, and a human being. This Very Short Introduction narrates the creation of racialized chattel slavery, the dismantling of that system during the Civil War, and the civil rights disputes that have erupted in the years since Emancipation, including the Black Lives Matter movement. Author Jonathan Scott Holloway illustrates American citizens' willingness to realize the ideal articulated in America's founding document, namely, that all people were created equal""-- Provided by publisher.",E,None,,eng,非裔美国人史：极简导论,非裔美国人历史; 种族关系; 美国历史
4F Book Collection,0192867733; 9780192867735; 0192867741; 9780192867742; 9780191959844; 0191959847; 9780192693594; 019269359X,"essential statistics for data science a concise crash course - zhu,",Essential statistics for data science : a concise crash course / Mu Zhu.,"Zhu, Mu, author.",Oxford University Press,[2023],Big data--Statistical methods.; Data mining--Statistical methods.,"""Essential Statistics for Data Science is a very short crash course for students entering a serious graduate program in data science without knowing enough statistics. However, it is not the type of introductory course that simply teaches students how to plug numbers into a formula and perform a t-test. While the course does start from the basics of probability and random variables, it moves along rapidly and ambitiously takes students in a matter of weeks to a number of relatively advanced topics in both frequentist and Bayesian inference as well as uncertainty assessment-such as the EM algorithm, the Gibbs sampler, and the bootstrap. The ""main plot"" unfolds in three parts. Part I, Talking Probability: The statistical approach to analysing data begins with a probability model to describe the data generating process; that's why, to study statistics, one must first learn to speak the language of probability. Part II, Doing Statistics: Before a model becomes truly useful, one must learn something about the unknown quantities in it-e.g., its parameters-from the data it is presumed to have generated, whether one cares about the parameters themselves or not; that's what much of statistical inference is about. Part III, Facing Uncertainty: Although one usually does not care much about parameters that don't have intrinsic scientific meaning, for those that do, it is important to explicitly describe how much uncertainty we have about""--Publisher.",QA,None,,eng,数据科学必备统计学：简明速成课程,数据科学; 统计方法; 大数据
4F Book Collection,0192869760; 9780192869760; 9780192696847; 019269684X; 9780191965968; 0191965960,interference the history of optical interferometry and the scientists who tamed light - nolt,Interference : the history of optical interferometry and the scientists who tamed light / David D. Nolte.,"Nolte, D. D., author.",Oxford University Press,[2023],Interferometry.; History.,"""Seeing a black hole at the heart of a distant galaxy is like standing in Paris and reading a newspaper in New York. How is this possible? And why can quantum computers compute impossible things in hours that would take classical computers the time since the Big Bang? The answer to these questions is interference. Optical interferometry is mankind's most sensitive form of measurement. In just the past several years, interferometry has been used to make the first image of a black hole, to demonstrate the first programmable quantum computer, and to detect the first gravitational waves. This recent list of ""firsts"" points to the fertile and active field of optical interferometry for which Interference provides a convenient and up-to-date guide for a wide audience interested in the science of light. This book tells the stories about the personal adventures experienced by the scientists and engineers who uncovered the vast wealth of optical interference phenomena. Beginning with Young's double slit experiment and the collaboration of Arago and Fresnel to prove the wave nature of light, to the detection of gravitational waves using kilometer-long laser beams, the history of interferometry has astonishing human drama that parallels the scientific drama of the discoveries""-- Provided by publisher.",QC,None,,eng,干涉：光学干涉测量史与驯服光的科学家们,干涉测量; 光学史; 科学史
4F Book Collection,0192893440; 9780192893444,nelson mandela a very short introduction - boeh,Nelson Mandela : a very short introduction / Elleke Boehmer.,"Boehmer, Elleke, 1961- author.",Oxford University Press,[2023],"Mandela, Nelson,--1918-2013.; Presidents--South Africa--Biography.; South Africa--Politics and government--20th century.","""Nelson Mandela: A Very Short Introduction outlines the long trajectory of the life of Nelson Mandela. It also considers images, narratives, politics, and more critical revisionist literature on Mandela in an effort to create the iconic image of Mandela. Mandela's life greatly coincides with the historical and political context of the struggle against apartheid in South Africa and the post-apartheid period of difficult reconciliation. The VSI features the character and achievements of Mandela through the perspective of his influences, interests, and leading ideas. It explores the literature responding to Mandela's death in 2013 ind the subsequent legacy he left behind."" -- Publisher description.",DT,None,Second edition.,eng,纳尔逊·曼德拉：极简导论,曼德拉传记; 南非政治; 总统传记
4F Book Collection,0192895257; 9780192895257,british constitution a very short introduction - loug,The British constitution : a very short introduction / Martin Loughlin.,"Loughlin, Martin, author.",Oxford University Press,[2023],Constitutional history--Great Britain.; Great Britain--Politics and government.,"In this Very Short Introduction, Martin Loughlin sketches the unique character of the British constitution, sets it in the context of the growth across the world of modern constitutions, and illustrates how Britain's traditional constitution has continued to evolve in response to modern economic, political, and social developments. The impact of recent changes occasioned by Brexit, Scottish independence claims, the settlement in Northern Ireland, and debates on human rights are examined and the prospects for Britain's traditional constitution assessed.",KD,None,Second edition.,eng,英国宪法：极简导论,英国宪法; 宪法史; 英国政治
4F Book Collection,0197554059; 9780197554050; 9780197554074; 0197554075,man on fire the worlds of thomas wentworth higginson - eger,A man on fire : the worlds of Thomas Wentworth Higginson / Douglas R. Egerton.,"Egerton, Douglas R., author.",Oxford University Press,[2024],"Higginson, Thomas Wentworth,--1823-1911.; United States.--Army.--South Carolina Volunteers, 1st (1862-1864)--Biography.; Abolitionists--Massachusetts--Biography.; Social reformers--Massachusetts--Biography.; Politicians--Massachusetts--Biography.; Poets--Massachusetts--Biography.; United States--Armed Forces--Officers--Biography.; United States--History--Civil War, 1861-1865--Biography.; Massachusetts--History--19th century.; Massachusetts--Biography.; Biographies.","""""Colonel Higginson was a man on fire,"" read one obituary. ""He had convictions and lived up to them in the fullest degree."" The obituary added that he had ""led the first negro regiment, contributed to the literature of America, and left an imprint upon history too deep to be obliterated."" Thomas Wentworth Higginson would have been pleased to have been referred to as ""colonel."" He was proud of his military service and happily used the title for many decades after the end of the Civil War, and up to his death in May 1911 at the age of eighty-seven. Nonetheless, his time in the army was just one of many things for which he hoped to be remembered. ""I never shall have a biographer, I suppose,"" he mused to his diary in 1881. Just in case somebody took up the challenge, however, he wished to provide a hint about his career. ""If I do"" find a chronicler, he wrote, ""the key to my life is easily to be found in this, that what I longed for from childhood was not to be eminent in this or that way, but to lead a whole life, develop all my powers, & do well in whatever came in my way to do."" It was a life marked by numerous struggles for social justice and progressive causes, from abolitionism to women's rights, from religious tolerance to socialism, and from physical fitness for both genders to temperance. Yet almost alone among his contemporaries and reform-minded friends, Higginson refused to devote himself to a single crusade. Even as a young man, he warned his mother that his ""greatest intellectual difficulty has been having too many irons in the fire."" Some of his colleagues disapproved of this, having dedicated all their efforts to ending slavery or advancing women's social and political rights. Then there were disputes about tactics. Some relied on the pen or the spoken word to garner support for their chosen cause. Abolitionists who followed the lead of Boston publisher William Lloyd Garrison, for example, typically declined to vote and believed that moral suasion and Christian pacifism would bring about an end to slavery. Frederick Douglass argued that violent means might be necessary to liberate four million enslaved Americans, of which he had once been one. John Brown went farther still and urged his supporters to take the fight into the contested territories of the Midwest or even the South, which the government of Abraham Lincoln effectively did in late 1862, when the War Department authorized a regiment of contraband soldiers on the Carolina coast. At one point or another, Higginson embraced all of these causes and employed all of these tactics to advance them, using the written page, his eloquent voice, his Sharps rifle, and, on one occasion, even a makeshift battering ram""-- Provided by publisher.",F,None,,eng,燃烧的人：托马斯·温特沃斯·希金森的世界,希金森传记; 废奴主义者; 美国内战
4F Book Collection,0198864337; 9780198864332,dostoevsky a very short introduction - mart,Dostoevsky : a very short introduction / Deborah Martinsen.,"Martinsen, Deborah A., author.",Oxford University Press,[2024],"Dostoyevsky, Fyodor,--1821-1881.","""Fyodor Dostoevsky was known for his treatment of ethics, religion, and philosophy. In this Very Short Introduction, Deborah Martinsen explores Dostoevsky's tumultuous life story to illuminate his work: his political imprisonment and narrow escape from execution, his Siberian exile, his gambling addiction, and his life life and marriages. Martinsen analyses key themes of the major works that showcase Dostoevsky's profound insights into human nature and society: doubling, freedom, shame, social justice, scandal, aesthetics, ethics, faith, and the eternal questions.""-- Provided by publisher.",PG,None,,eng,陀思妥耶夫斯基：极简导论,陀思妥耶夫斯基; 俄国文学; 作家传记
4F Book Collection,019887054X; 9780198870548,architecture of clouds - blue,The architecture of clouds / Howard B. Bluestein.,"Bluestein, Howard B., author.",Oxford University Press,[2024],Clouds.; Clouds--Pictorial works.; Cloud physics.,"The Architecture of Clouds describes in a visual, poetic, and personal way how clouds are related to our everyday life and the weather. It expertly details how the art and science of clouds are interconnected with straightforward scientific explanations of the meteorological context in which clouds appear and why they form, alongside in-depth descriptions of the visual and artistic aspects of clouds. The air motion dynamics, cloud microphysics and thermodynamics discussed are written in a style accessible to all readers. The clouds showcased within the text range from placid ground fog to smoothly sculpted, stationary, mountain-wave clouds to violent clouds associated with convective storms, tornadoes, and hurricanes. Clouds are classified as whether they are buoyant or not, and if they are, how deep they extend through the atmosphere. An exhaustive and impressive compilation of photos taken from all over the world, including photographs taken from satellites, are featured in each chapter. Radar depictions of the inside of some clouds and storms provide a unique addition. This book provides an abundance of detail and photography that will be appreciated by scientists, students, and any reader interested in exploring beyond the aesthetics of clouds.",QC,None,,eng,云的架构,云; 云物理学; 大气科学
4F Book Collection,0198896697; 9780198896692; 0191998338; 9780191998331,studies in gothic -,Studies in Gothic / edited by Jared S. Klein and Artūras Ratkus.,,Oxford University Press,[2024],Gothic language.,"Studies in Gothic is a collection of twelve cutting edge chapters on the Goths and their language. The topics it covers are highly varied and include sociolinguistics, history, translation, phonology, derivational morphology, etymology, verbal syntax, word order, linguistic theory, and discourse structure. Individual chapters examine GothicLatin bilingualism in sixth-century Italy, some hitherto unsuspected aspects of the production of the first edition of the Codex Argenteus associated with England, and the translations of Greek nominal compounds in the Gospels. Phonological and morphological treatments deal with vowel lowering ('breaking'), offer a prosodic analysis of the distinction between abstract nouns in -ei and -ita, reconstruct the original shape of the 'yon'-word in Proto-Germanic, and study the morphology and derivational history of the word fidurdMgs 'four days old'. Syntactic contributions treat the development of verb + particle constructions in Gothic and Old Saxon and attempt to discern the order of noun plus adnominal possessive based in particular on those instances where the adnominal is introduced in the absence of such a form in the Greek text. Linguistic theory is brought to bear in the analysis of the complex and in part cross-linguistically unparalleled markers of Gothic relative clauses. The volume concludes with two contributions dealing with discourse structure. The first studies the particles nu and tan in their dual roles as anaphoric elements ('now' and 'then') and as discourse particles, while the final chapter treats the system of discourse articulation as a whole in the Gothic Gospels.",PD,None,,eng,哥特语研究,哥特语; 日耳曼语言学; 历史语言学
4F Book Collection,0226834131; 9780226834139; 9780226825472; 0226825477,balance of power central banks and the fate of democracies - monn,Balance of power : central banks and the fate of democracies / éric Monnet ; translated from the French by Steven Rendall.,"Monnet, éric, 1983- author.",The University of Chicago Press,[2024],"Banks and banking, Central--Political aspects.; Welfare state.; Monetary policy.","""Reconsidering the limits-past, present, future-of the financial institutions that stand between us and the abyss. Two financial crises in two decades have expanded and diversified the roles of central banks in the twenty-first century. With the 2008 crash, they became the lenders of last resort in monetary policy; with Covid-19, they became underwriters of the public welfare. Both powers are expansive, unchecked, and inherently political. Is this democracy? In Balance of Power, economist and historian Eric Monnet traces the rise of the central banks-from their public-private origins to their current portfolio, which spans everything from interest rates to international relations-to make an urgent and erudite argument: the central banks are no longer independent, if they ever were. And our ability to subject them to democratic rule will go a long way in wielding their expansive powers effectively in societies that face multiple crises at once. Eschewing the traditional storytelling around the birth of central banks and their operational independence, Monnet shows how the power of central banks flows from their origins as a part of the welfare state: they were the financial apparatus used to stabilize societies after World War II, and they have never abdicated that role since. Today it can be seen in the central banks' role as insurance providers-the backstop institution of bailouts, stimuli, and rescue plans. As new challenges emerge, including the boom of digital currencies and the simmering crisis of climate change, central banks will necessarily have to break the glass on longstanding taboos of monetary policy. With this creeping expansion well underway, Monnet offers a trenchant, deeply erudite case for what a democratic central bank can look like""-- Provided by publisher.",HG,None,,eng,权力平衡：中央银行与民主的命运,中央银行; 货币政策; 福利国家
